GADE (Affect of gaming in work),Game,Hours (per week),streams,Narcissism,Gender,Age,Work,Degree,Residence_ISO3,SWL_T (Satisfaction with Life total score),SPIN_T (Social Phobia Inventory total score),GAD_T (General Anxiety Disorder total score) (to predict)
NA,League of Legends,25,1,1,Male,25,Employed,Bachelor (or equivalent),USA,33,3,0
Somewhat difficult,League of Legends,5,1,3,Male,36,Employed,Bachelor (or equivalent),ROU,26,31,5
NA,League of Legends,9,1,4,Female,23,Employed,High school diploma (or equivalent),GBR,26,39,0
Not difficult at all,League of Legends,7,1,2,Male,25,Student at college / university,Master (or equivalent),USA,21,29,1
Very difficult,League of Legends,25,1,3,Male,18,Student at college / university,High school diploma (or equivalent),USA,10,17,11
Not difficult at all,League of Legends,10,1,3,Male,28,Unemployed / between jobs,Bachelor (or equivalent),GBR,13,11,1
Not difficult at all,League of Legends,25,1,5,Male,18,Student at school,High school diploma (or equivalent),LVA,29,47,19
Somewhat difficult,League of Legends,20,1,2,Male,19,Student at college / university,High school diploma (or equivalent),AUS,17,25,8
Very difficult,League of Legends,40,1,4,Male,21,Student at school,High school diploma (or equivalent),USA,12,45,21
Very difficult,League of Legends,10,1,1,Female,20,Employed,High school diploma (or equivalent),USA,15,30,18
Somewhat difficult,League of Legends,20,1,1,Male,19,Student at college / university,None,USA,23,13,8
Not difficult at all,League of Legends,20,1,3,Male,27,Student at college / university,High school diploma (or equivalent),DEU,23,15,1
Very difficult,League of Legends,12,1,2,Male,18,Student at college / university,High school diploma (or equivalent),GBR,8,50,13
Extremely difficult,League of Legends,28,1,1,Male,19,Unemployed / between jobs,High school diploma (or equivalent),CHE,7,33,15
Somewhat difficult,League of Legends,25,1,4,Male,19,Student at college / university,High school diploma (or equivalent),HRV,19,21,3
Not difficult at all,League of Legends,42,1,3,Male,27,Employed,Bachelor (or equivalent),IND,30,15,0
Extremely difficult,League of Legends,20,1,1,Female,21,Employed,High school diploma (or equivalent),DEU,8,21,15
Somewhat difficult,League of Legends,14,1,1,Male,18,Student at college / university,High school diploma (or equivalent),NLD,11,11,5
Somewhat difficult,League of Legends,50,1,2,Male,19,Student at college / university,High school diploma (or equivalent),USA,8,34,9
Somewhat difficult,League of Legends,40,1,1,Male,22,Student at college / university,High school diploma (or equivalent),DNK,11,35,7
Somewhat difficult,League of Legends,10,1,1,Female,20,Employed,High school diploma (or equivalent),PRT,16,25,2
Somewhat difficult,League of Legends,28,1,1,Male,21,Student at college / university,Bachelor (or equivalent),FRA,19,4,4
Somewhat difficult,League of Legends,30,1,2,Male,20,Unemployed / between jobs,Bachelor (or equivalent),FRA,8,22,8
Very difficult,League of Legends,28,1,3,Male,21,Employed,High school diploma (or equivalent),GBR,5,34,17
Not difficult at all,League of Legends,40,1,1,Male,23,Unemployed / between jobs,High school diploma (or equivalent),ARG,17,26,4
Somewhat difficult,League of Legends,30,1,1,Male,18,Student at school,High school diploma (or equivalent),DEU,9,40,3
Not difficult at all,League of Legends,30,1,2,Male,18,Employed,High school diploma (or equivalent),DEU,29,46,13
Not difficult at all,League of Legends,17,1,4,Male,27,Employed,High school diploma (or equivalent),EST,17,11,6
Not difficult at all,League of Legends,30,1,1,Male,20,Employed,High school diploma (or equivalent),GBR,19,6,3
Somewhat difficult,League of Legends,7,1,1,Male,34,Employed,Master (or equivalent),DEU,22,18,4
Somewhat difficult,League of Legends,30,1,2,Male,21,Student at college / university,Bachelor (or equivalent),CZE,21,28,6
Somewhat difficult,League of Legends,25,1,1,Male,20,Unemployed / between jobs,Bachelor (or equivalent),NLD,12,NA,3
Not difficult at all,League of Legends,10,1,1,Female,20,Student at college / university,High school diploma (or equivalent),LTU,31,27,5
Somewhat difficult,League of Legends,40,1,2,Female,18,Student at school,High school diploma (or equivalent),NOR,27,7,11
Not difficult at all,League of Legends,12,1,4,Male,25,Employed,"Ph.D., Psy. D., MD (or equivalent)",DEU,31,5,1
Somewhat difficult,League of Legends,16,1,1,Male,19,Student at college / university,High school diploma (or equivalent),JPN,21,14,7
Not difficult at all,League of Legends,16,1,1,Male,18,Student at school,High school diploma (or equivalent),GBR,27,2,1
Not difficult at all,League of Legends,12,1,3,Male,18,Employed,High school diploma (or equivalent),GBR,22,16,2
Somewhat difficult,League of Legends,21,1,1,Male,21,Student at college / university,High school diploma (or equivalent),HRV,16,23,10
Somewhat difficult,League of Legends,5,1,1,Male,23,Employed,High school diploma (or equivalent),DEU,24,8,3
Not difficult at all,League of Legends,40,1,2,Male,22,Student at college / university,High school diploma (or equivalent),FIN,20,14,4
Not difficult at all,League of Legends,11,1,1,Male,18,Student at college / university,High school diploma (or equivalent),SGP,25,8,5
Not difficult at all,League of Legends,30,1,2,Male,20,Student at college / university,High school diploma (or equivalent),BEL,25,36,5
